id,label,cLabelIdx,cCntryCode,cLCControlNumber,UpName
434,Magnetic,MAGNETIC,,,MAGNETIC
435,Bandstand,BANDSTAND,,,BANDSTAND
436,Colpix,COLPIX,,,COLPIX
437,Prestige/Moodsville,PRESTIGE/MOODSVILLE,,,PRESTIGE/MOODSVILLE
438,Omega,OMEGA,,,OMEGA
439,Regina,REGINA,,,REGINA
440,Mothlight,MOTHLIGHT,,,MOTHLIGHT
441,CAN-AM International,CAN-AM INTERNATIONAL,,,CAN-AM INTERNATIONAL
442,Perception,PERCEPTION,,,PERCEPTION
443,Castle,CASTLE,,,CASTLE
444,Bainbridge,BAINBRIDGE,,,BAINBRIDGE
445,Meteor Magnum,METEOR MAGNUM,,,METEOR MAGNUM
446,Blue Flame,BLUE FLAME,,,BLUE FLAME
447,Arkadia Jazz,ARKADIA JAZZ,,,ARKADIA JAZZ
448,Mack Avenue,MACK AVENUE,,,MACK AVENUE
449,Bell,BELL,,,BELL
450,PolyGram,POLYGRAM,,,POLYGRAM
451,HiLife,HILIFE,,,HILIFE
452,Yes To Jazz,YES TO JAZZ,,,YES TO JAZZ
453,Blue Jazz,BLUE JAZZ,,,BLUE JAZZ
454,Calliope,CALLIOPE,,,CALLIOPE
455,Blue Marge,BLUE MARGE,,,BLUE MARGE
456,ITM,ITM,,,ITM
457,Joker,JOKER,,,JOKER
458,Grapeshot,GRAPESHOT,,,GRAPESHOT
459,Cadence,CADENCE,,,CADENCE
460,CIMP,CIMP,,,CIMP
461,Timescraper,TIMESCRAPER,,,TIMESCRAPER
462,WestWind,WESTWIND,,,WESTWIND
463,Eremite,EREMITE,,,EREMITE
464,Geetika,GEETIKA,,,GEETIKA
465,Improvising Artists Inc.,IMPROVISING ARTISTS INC,,,IMPROVISING ARTISTS INC.
466,Composers Collective,COMPOSERS COLLECTIVE,,,COMPOSERS COLLECTIVE
467,Birth,BIRTH,,,BIRTH
468,OTIC,OTIC,,,OTIC
469,DPR,DPR,,,DPR
470,AKM,AKM,,,AKM
471,Paramount,PARAMOUNT,,,PARAMOUNT
472,Earthforms,EARTHFORMS,,,EARTHFORMS
473,Beancake,BEANCAKE,,,BEANCAKE
474,Laughing Angel,LAUGHING ANGEL,,,LAUGHING ANGEL
475,ReEntry,REENTRY,,,REENTRY
476,JCOA,JCOA,,,JCOA
477,[unrecorded?],UNRECORDED,,,[UNRECORDED?]
478,Boplicity,BOPLICITY,,,BOPLICITY
479,Braxton House,BRAXTON HOUSE,,,BRAXTON HOUSE
480,John Hammond,JOHN HAMMOND,,,JOHN HAMMOND
481,P-Vine,P-VINE,,,P-VINE
482,Claves Jazz,CLAVES JAZZ,,,CLAVES JAZZ
483,EGT,EGT,,,EGT
484,Koch/Schwann,KOCH/SCHWANN,,,KOCH/SCHWANN
485,Moers Music,MOERS MUSIC,,,MOERS MUSIC
486,Mons,MONS,,,MONS
487,West Side,WEST SIDE,,,WEST SIDE
488,Jazz Planet,JAZZ PLANET,,,JAZZ PLANET
489,Jazz Time,JAZZ TIME,,,JAZZ TIME
490,Douglas,DOUGLAS,,,DOUGLAS
491,Douglas Music,DOUGLAS MUSIC,,,DOUGLAS MUSIC
492,Kiva,KIVA,,,KIVA
493,Crown,CROWN,#2,,CROWN
494,Sonet,SONET,,,SONET
495,Arco,ARCO,,,ARCO
496,Double Time,DOUBLE TIME,,,DOUBLE TIME
497,BRC International,BRC INTERNATIONAL,,,BRC INTERNATIONAL
498,Keystone,KEYSTONE,,,KEYSTONE
499,Somethin' Else,SOMETHIN ELSE,,,SOMETHIN' ELSE
500,Art Union,ART UNION,Japan,,ART UNION
501,True Life Jazz,TRUE LIFE JAZZ,,,TRUE LIFE JAZZ
502,Dove,DOVE,,,DOVE
503,Eighty-Eight's,EIGHTY-EIGHTS,,,EIGHTY-EIGHT'S
504,BGI Records,BGI RECORDS,,,BGI RECORDS
505,Diplomat,DIPLOMAT,,,DIPLOMAT
